time,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,meas_x,meas_y,meas_z,gnss_error_mag,wind_x,wind_y,wind_z,wind_mag,rep_force_mag,nearest_neighbor_dist,target_x,target_y,target_z,tracking_error_mag,collision_flag
0.046,-0.5,-0.5,0.0594,-0.0,-0.0001,1.3162,-0.8013,-0.261,0.3195,0.4643,0.0004,0.0002,0.0002,0.0004,0.0,6.802,-0.5,-0.5,0.0,0.0594,1
0.087,-0.5,-0.5,0.1087,-0.0,-0.0001,1.0736,-0.8012,-0.2612,0.3558,0.457,-0.0001,-0.0007,-0.0008,0.0011,0.0,6.802,-0.5,-0.5,0.0,0.1087,0
0.129,-0.5,-0.5,0.1479,0.0,-0.0002,0.8327,-0.801,-0.2612,0.3939,0.4563,0.0002,-0.0005,0.0005,0.0007,0.0,6.802,-0.9708,0.2986,0.0,0.9388,0
0.171,-0.5,-0.5,0.1771,0.0,-0.0002,0.5932,-0.8009,-0.2613,0.4149,0.4518,0.0002,0.0003,-0.0015,0.0016,0.0,6.802,-0.9711,0.2986,0.0,0.944,0
0.212,-0.5,-0.5,0.1964,0.0,-0.0002,0.3552,-0.8008,-0.2614,0.4295,0.4492,-0.0001,0.0004,0.0001,0.0004,0.0,6.802,-0.9755,0.299,0.0,0.9503,0
0.254,-0.5,-0.5,0.2057,0.0,-0.0003,0.1187,-0.5425,0.2204,0.9298,1.0223,-0.0001,0.0005,-0.0004,0.0006,0.0,7.007,-0.981,0.2994,0.0,0.9554,0
0.295,-0.5,-0.5001,0.2053,0.0001,-0.0004,-0.1163,-0.5418,0.2206,0.9304,1.0232,0.0,-0.0001,-0.0002,0.0002,0.0,7.007,-0.9938,0.2999,0.0,0.9623,0
0.337,-0.5,-0.5001,0.1951,0.0001,-0.0004,-0.3498,-0.5411,0.2207,0.9247,1.0264,-0.0001,-0.0,-0.0,0.0001,0.0,7.007,-0.2459,0.3063,0.637,0.954,0
0.379,-0.5,-0.5001,0.1756,0.0002,-0.0006,-0.5491,-0.54,0.2208,0.9075,1.0281,-0.0002,-0.0001,0.0003,0.0003,0.0,7.008,-0.1916,0.431,0.637,1.084,0
0.42,-0.4999,-0.5002,0.1507,0.0054,-0.0048,-0.6245,-0.3726,0.4111,0.9343,1.2086,0.001,0.001,-0.0009,0.0017,0.0,6.988,-0.1969,0.5917,0.637,1.2331,0
0.462,-0.4992,-0.5005,0.1236,0.0329,-0.0078,-0.6578,-0.3725,0.41,0.914,1.2123,-0.0004,0.0004,0.0004,0.0006,0.0,6.989,-0.2218,0.6549,0.637,1.2944,0
0.503,-0.4961,-0.5002,0.1008,0.1202,0.0334,-0.3557,-0.3704,0.409,0.8894,1.2101,0.0,-0.0006,0.0005,0.0008,0.0,6.991,-0.2147,0.8471,0.955,1.6199,0
0.541,-0.4896,-0.4972,0.0959,0.2117,0.1185,0.048,-0.1194,0.5036,0.7321,1.2424,-0.0003,0.0001,0.0004,0.0005,0.0,7.107,-0.2215,0.8612,0.955,1.6294,0
0.582,-0.4795,-0.4903,0.1047,0.2636,0.203,0.3231,-0.1128,0.508,0.7402,1.2389,-0.0002,0.0003,-0.0005,0.0006,0.0,7.109,-0.2185,0.8605,0.993,1.6377,0
0.624,-0.4683,-0.48,0.1213,0.2687,0.2864,0.441,-0.1052,0.5146,0.754,1.2334,-0.0,-0.0004,-0.0007,0.0008,0.0,7.11,-0.2258,0.8731,0.993,1.6277,0
0.666,-0.4579,-0.4649,0.1469,0.2242,0.4274,0.7503,0.4287,0.4032,0.6168,1.3268,-0.0001,-0.0001,-0.0004,0.0004,0.0,6.954,-0.2391,0.8861,0.993,1.609,0
0.707,-0.4503,-0.4437,0.1826,0.1366,0.5854,0.9643,0.4354,0.4172,0.6418,1.3178,0.0008,0.0003,0.0016,0.0018,0.0,6.94,-0.158,0.9057,1.12,1.6689,0
0.749,-0.4476,-0.4157,0.2267,0.004,0.7331,1.1084,0.4391,0.4357,0.6727,1.3077,0.0001,-0.0003,-0.0005,0.0006,0.0,6.924,-0.1685,0.9054,1.12,1.619,0
0.79,-0.4717,-0.41,0.2712,-0.8176,-0.0505,1.0791,0.4241,0.4472,0.7158,1.3171,0.0008,-0.0003,-0.0005,0.001,0.0,6.926,-0.1701,0.9214,1.12,1.6075,1
0.832,-0.5073,-0.4072,0.3153,-0.8811,0.1625,1.0091,0.3694,0.5603,0.8365,1.4058,-0.0004,-0.0001,0.0011,0.0012,0.0,6.886,-0.2254,0.8655,1.109,1.5262,0
0.874,-0.5452,-0.3967,0.3514,-0.9385,0.3346,0.7461,0.3424,0.567,0.8642,1.407,0.0005,0.0006,0.0001,0.0007,0.0,6.901,-0.2219,0.8818,1.109,1.5209,0
0.915,-0.5868,-0.3785,0.3758,-1.0565,0.5176,0.4493,0.3031,0.5837,0.8895,1.4077,0.0008,-0.0002,0.0007,0.0011,0.0,6.918,-0.218,0.8979,1.109,1.5175,0
0.957,-0.6347,-0.3536,0.3873,-1.2257,0.6485,0.1314,0.4958,0.6309,1.1555,1.6844,-0.0002,0.0008,-0.0011,0.0013,0.0,6.746,-0.2789,0.8721,1.152,1.4878,0
0.998,-0.6903,-0.3251,0.3858,-1.439,0.7005,-0.164,0.4544,0.653,1.1542,1.6904,-0.0002,-0.001,-0.0005,0.0012,0.0,6.761,-0.2768,0.8801,1.152,1.4869,0
1.04,-0.7571,-0.2967,0.3745,-1.7451,0.6469,-0.333,0.3886,0.6831,1.142,1.6917,-0.0005,-0.0002,0.001,0.0012,0.0,6.788,-0.3245,0.8741,1.143,1.4657,0
1.082,-0.8367,-0.2736,0.3596,-2.0323,0.4607,-0.3622,0.3297,0.7022,1.1294,1.7045,0.0003,-0.0004,-0.0016,0.0017,0.0,6.818,-0.3245,0.8741,1.143,1.481,0
1.123,-0.9259,-0.2604,0.3457,-2.2096,0.1938,-0.3011,0.264,0.7153,1.1173,1.7214,0.0003,-0.0006,-0.0003,0.0008,0.0,6.857,-0.3168,0.8978,1.143,1.5323,0
1.165,-1.0196,-0.2589,0.3353,-2.2657,-0.0942,-0.2074,0.1631,0.9516,1.0446,1.835,0.0006,-0.0011,-0.0003,0.0013,0.0,6.777,-0.4074,0.9475,1.083,1.5458,0
1.206,-1.1134,-0.269,0.3285,-2.2297,-0.358,-0.1281,0.0945,0.9457,1.0396,1.8547,0.0006,-0.0014,0.0001,0.0015,0.0,6.833,-0.4017,0.9632,1.083,1.6106,0
1.248,-1.2044,-0.2896,0.325,-2.1342,-0.6234,-0.0108,-0.0304,0.8818,0.8148,1.7293,0.0016,-0.0,-0.0005,0.0016,0.0,6.924,-0.4477,1.0937,1.113,1.7627,0
1.29,-1.2901,-0.3231,0.3308,-2.0,-0.9344,0.2339,-0.1137,0.8495,0.8187,1.7312,-0.0009,0.0013,0.0002,0.0016,0.0,6.881,-0.4383,1.1168,1.113,1.8468,0
1.331,-1.3716,-0.3673,0.3432,-1.9295,-1.1567,0.3403,-0.1727,0.8166,0.8272,1.7531,-0.0012,-0.0015,0.0008,0.0021,0.0,6.858,-0.4317,1.1321,1.113,1.9298,0
1.373,-1.4515,-0.4186,0.3569,-1.9144,-1.2623,0.2495,-0.0866,0.8139,1.6996,2.277,0.0008,-0.0001,0.0018,0.002,0.0,6.925,-0.435,1.1245,1.113,1.9965,0
1.414,-1.5313,-0.4719,0.3619,-1.9146,-1.2871,0.0123,-0.1616,0.7613,1.706,2.2811,-0.0002,0.0008,-0.0018,0.0019,0.0,6.903,-0.4328,1.2463,1.111,2.1726,0
